Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
PCU1T,contig_3_-,4701,1,4656.67,184.54,106.54,2153,2309.33,140.76,81.27,2.016459319,trabasic,traD,#040F0F,,,,,,
PCU1T,contig_3_-,4815,2,4656.67,184.54,106.54,2349,2309.33,140.76,81.27,,trabasic,traD,#040F0F,,,,,,
PCU1T,contig_3_-,4454,3,4656.67,184.54,106.54,2426,2309.33,140.76,81.27,,trabasic,traD,#040F0F,,,,,,
41T,000001F_arrow_MOBF_40484121453,44,1,43.67,2.52,1.45,122,106.33,15.04,8.69,0.41070253,trabasic,traD_1,#040F0F,,,,,,
41T,000001F_arrow_MOBF_40484121453,46,2,43.67,2.52,1.45,105,106.33,15.04,8.69,,trabasic,traD_1,#040F0F,,,,,,
41T,000001F_arrow_MOBF_40484121453,41,3,43.67,2.52,1.45,92,106.33,15.04,8.69,,trabasic,traD_1,#040F0F,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,530,1,506,44.19,25.51,169,225.67,51.62,29.8,2.24221208,trabasic,traD_2,#040F0F,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,455,2,506,44.19,25.51,238,225.67,51.62,29.8,,trabasic,traD_2,#040F0F,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,533,3,506,44.19,25.51,270,225.67,51.62,29.8,,trabasic,traD_2,#040F0F,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,3326,1,5899.67,4271.17,2465.96,10795,9949.67,802.2,463.15,0.592951324,trabasic,traD_3,#040F0F,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,10830,2,5899.67,4271.17,2465.96,9199,9949.67,802.2,463.15,,trabasic,traD_3,#040F0F,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,3543,3,5899.67,4271.17,2465.96,9855,9949.67,802.2,463.15,,trabasic,traD_3,#040F0F,,,,,,
